序号,刊名,收录,2023IF,JCR分区,中科院分区
448 ,Neuroscience of Consciousness,ESCI,3.1 ,Q1,4区
449 ,PsyCh Journal,SSCI,1.3 ,Q3,4区
450 ,Multisensory Research,SSCI,1.8 ,Q3,4区
451 ,Affective Science,ESCI,2.1 ,Q2,4区
452 ,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,SSCI,2.1 ,Q2,4区
453 ,Journal of Cognitive Psychology,SSCI,1.2 ,Q4,4区
454 ,Journal of Cognition and Culture,ESCI,0.6 ,Q4,4区
455 ,CONTEMPORARY FAMILY THERAPY,ESCI,1.0 ,Q3,4区
456 ,Psychology in Russia-State of the Art,ESCI,1.1 ,Q3,4区
457 ,Australian Journal of Career Development,ESCI,1.4 ,Q3,4区
458 ,BEHAVIORAL INTERVENTIONS,SSCI,1.1 ,Q3,4区
459 ,JOURNAL OF NEUROLINGUISTICS,SSCI,1.2 ,Q4,4区
460 ,Social Psychology,SSCI,1.2 ,Q4,4区
461 ,JOURNAL OF NONVERBAL BEHAVIOR,SSCI,1.2 ,Q4,4区
462 ,INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,SSCI,1.0 ,Q3,4区
463 ,European Journal of Psychotherapy & Counselling,ESCI,0.4 ,Q4,4区
464 ,FORUM DER PSYCHOANALYSE,SSCI,0.2 ,Q4,4区
465 ,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,SSCI,1.2 ,Q3,4区
466 ,Journal of Psychologists and Counsellors in Schools,#N/A,#N/A,#N/A,4区
467 ,Journal of Behavioral and Cognitive Therapy,ESCI,1.7 ,Q3,4区
468 ,Counselling & Psychotherapy Research,ESCI,1.2 ,Q3,4区
469 ,JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,SSCI,0.8 ,Q4,4区
470 ,Evolutionary Psychology,SSCI,1.1 ,Q4,4区
471 ,Journal of Individual Differences,SSCI,1.2 ,Q4,4区
472 ,MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,SSCI,1.2 ,Q4,4区
473 ,Clinical Psychologist,SSCI,1.2 ,Q3,4区
474 ,PSYCHOLOGICAL RECORD,SSCI,1.0 ,Q3,4区
475 ,Journal for Specialists in Group Work,ESCI,1.6 ,Q3,4区
476 ,Journal of Humanistic Counseling,ESCI,0.8 ,Q4,4区
477 ,Social Influence,SSCI,1.8 ,Q3,4区
478 ,Papeles del Psicologo,ESCI,1.1 ,Q3,4区
479 ,Psicoterapia e Scienze Umane,ESCI,0.4 ,Q4,4区
480 ,Psychological Perspectives-A Quarterly Journal of Jungian Thought,ESCI,0.1 ,Q4,4区
481 ,INTERNATIONAL JOURNAL OF MENTAL HEALTH,ESCI,1.4 ,Q3,4区
482 ,JOURNAL OF COMPARATIVE PSYCHOLOGY,SSCI,1.1 ,Q3,4区
483 ,Journal of Applied School Psychology,ESCI,1.1 ,Q4,4区
484 ,JOURNAL OF HUMANISTIC PSYCHOLOGY,SSCI,1.3 ,Q3,4区
485 ,CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,SSCI,1.3 ,Q3,4区
486 ,SA Journal of Industrial Psychology,ESCI,1.5 ,Q3,4区
487 ,JOURNAL OF MOTOR BEHAVIOR,SSCI,1.1 ,Q4,4区
488 ,MILITARY PSYCHOLOGY,SSCI,1.1 ,Q3,4区
489 ,Early Child Development and Care,SSCI,1.0 ,Q4,4区
490 ,WOMEN & THERAPY,SSCI,1.1 ,Q3,4区
491 ,ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,SSCI,1.8 ,Q3,4区
492 ,AMERICAN JOURNAL OF CLINICAL HYPNOSIS,SSCI,1.2 ,Q3,4区
493 ,HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,SSCI,1.2 ,Q3,4区
494 ,Journal of Forensic Psychology Research and Practice,SSCI,0.7 ,Q4,4区
495 ,International Journal of Evidence Based Coaching & Mentoring,ESCI,0.9 ,Q4,4区
496 ,SOUTH AFRICAN JOURNAL OF PSYCHOLOGY,SSCI,1.9 ,Q2,4区
497 ,Kulturno-Istoricheskaya Psikhologiya-Cultural-Historical Psychology,ESCI,0.6 ,Q4,4区
498 ,Analysis of Verbal Behavior,ESCI,0.7 ,Q4,4区
499 ,JOURNAL OF ADDICTIONS & OFFENDER COUNSELING,ESCI,1.0 ,Q4,4区
500 ,EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,SSCI,1.3 ,Q3,4区
501 ,JOURNAL OF CHILD PSYCHOTHERAPY,ESCI,0.4 ,Q4,4区
502 ,EXPERIMENTAL PSYCHOLOGY,SSCI,1.1 ,Q4,4区
503 ,International Journal of Psychological Research,SSCI,1.2 ,Q3,4区
504 ,TPM-Testing Psychometrics Methodology in Applied Psychology,ESCI,0.7 ,Q4,4区
505 ,International Journal of Social Psychology,SSCI,0.9 ,Q4,4区
506 ,Coaching-An International Journal of Theory Research and Practice,ESCI,0.9 ,Q4,4区
507 ,Revista De Historia De La Psicologia,ESCI,0.3 ,Q4,4区
508 ,Journal of Motor Learning and Development,ESCI,0.8 ,Q4,4区
509 ,Advances in Cognitive Psychology,SSCI,1.0 ,Q4,4区
510 ,STUDIA PSYCHOLOGICA,SSCI,1.1 ,Q3,4区
511 ,Clinical Case Studies,SSCI,0.8 ,Q4,4区
512 ,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,SSCI,1.0 ,Q3,4区
513 ,CHEMICAL SENSES,#N/A,#N/A,#N/A,4区
514 ,International Journal of Applied Psychoanalytic Studies,ESCI,0.4 ,Q3,4区
515 ,Timing & Time Perception,ESCI,1.4 ,Q4,4区
516 ,Journal of Couple & Relationship Therapy-Innovations in Clinical and Educational Interventions,ESCI,0.7 ,Q4,4区
517 ,REVISTA LATINOAMERICANA DE PSICOLOGIA,SSCI,1.1 ,Q3,4区
518 ,Applied Neuropsychology-Adult,SCIE,1.4 ,Q3,4区
519 ,Studies in Psychology,SSCI,0.8 ,Q3,4区
520 ,Australian and New Zealand Journal of Family Therapy,#N/A,#N/A,#N/A,4区
521 ,Psychology of Leaders and Leadership,ESCI,0.9 ,Q4,4区
522 ,Body Movement and Dance in Psychotherapy,ESCI,0.4 ,Q4,4区
523 ,Counseling and Values,ESCI,0.7 ,Q4,4区
524 ,Psicologia Sociale,ESCI,0.5 ,Q4,4区
525 ,Person-Centered and Experiential Psychotherapies,ESCI,0.5 ,Q4,4区
526 ,Psikhologicheskaya Nauka i Obrazovanie-Psychological Science and Education,ESCI,0.7 ,Q4,4区
527 ,Psychodynamic Practice,ESCI,0.3 ,Q4,4区
528 ,BRITISH JOURNAL OF GUIDANCE & COUNSELLING,SSCI,1.0 ,Q4,4区
529 ,LATERALITY,SSCI,0.9 ,Q4,4区
530 ,Current Issues in Personality Psychology,ESCI,1.0 ,Q4,4区
531 ,AMERICAN JOURNAL OF PSYCHOLOGY,SSCI,0.9 ,Q3,4区
532 ,Journal of LGBTQ Issues in Counseling,ESCI,0.7 ,Q4,4区
533 ,BEHAVIOURAL PHARMACOLOGY,#N/A,#N/A,#N/A,4区
534 ,Journal of Psychosocial Studies,ESCI,0.2 ,Q4,4区
535 ,TEACHING OF PSYCHOLOGY,SSCI,0.7 ,Q4,4区
536 ,KINDHEIT UND ENTWICKLUNG,SSCI,0.8 ,Q4,4区
537 ,Psihologija,SSCI,0.9 ,Q3,4区
538 ,AMERICAN JOURNAL OF FAMILY THERAPY,SSCI,0.9 ,Q4,4区
539 ,Journal of Youth Development,ESCI,0.5 ,Q4,4区
540 ,Consulting Psychology Journal-Practice and Research,ESCI,0.9 ,Q4,4区
541 ,Sexual Health & Compulsivity,ESCI,0.6 ,Q4,4区
542 ,Organisational and Social Dynamics,ESCI,0.4 ,Q4,4区
543 ,Social Psychology and Society,ESCI,0.5 ,Q4,4区
544 ,Psicologica,SSCI,0.8 ,Q4,4区
545 ,Advances in Autism,ESCI,1.1 ,Q4,4区
546 ,PsyArt Journal-Online Journal for the Psychological Study of the Arts,ESCI,<0.1,Q4,4区
547 ,Psychotherapie,SSCI,1.0 ,Q3,4区
548 ,SOCIAL BEHAVIOR AND PERSONALITY,SSCI,1.0 ,Q4,4区
549 ,Jung Journal-Culture & Psyche,#N/A,#N/A,#N/A,4区
550 ,Journal of Psychology in Africa,SSCI,0.8 ,Q3,4区
551 ,Revista Espanola de Orientacion y Psicopedagogia,ESCI,0.7 ,Q4,4区
552 ,PSIKHOLOGICHESKII ZHURNAL,SSCI,0.5 ,Q4,4区
553 ,Journal of Prevention & Intervention in the Community,ESCI,0.9 ,Q3,4区
554 ,Journal of Creativity in Mental Health,ESCI,0.8 ,Q4,4区
555 ,GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK,SSCI,0.2 ,Q4,4区
556 ,JAPANESE PSYCHOLOGICAL RESEARCH,SSCI,0.8 ,Q3,4区
557 ,Psychology and Law,ESCI,0.4 ,Q4,4区
558 ,Journal of Occupational Therapy Schools and Early Intervention,ESCI,0.7 ,Q4,4区
559 ,Journal of Muslim Mental Health,ESCI,0.5 ,Q4,4区
560 ,Nordic Psychology,SSCI,0.6 ,Q4,4区
561 ,Acta Colombiana de Psicologia,ESCI,0.7 ,Q4,4区
562 ,Nonlinear Dynamics Psychology and Life Sciences,SSCI,0.6 ,Q4,4区
563 ,Papers on Social Representations,ESCI,0.4 ,Q4,4区
564 ,Interaction Studies,#N/A,#N/A,#N/A,4区
565 ,Terapia Psicologica,SSCI,0.8 ,Q4,4区
566 ,International Journal of AEROSPACE Psychology,SSCI,1.0 ,Q4,4区
567 ,DIAGNOSTICA,SSCI,0.6 ,Q4,4区
568 ,INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,SSCI,0.6 ,Q4,4区
569 ,ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,SSCI,0.6 ,Q4,4区
570 ,Zeitschrift fur Sexualforschung,SSCI,0.8 ,Q4,4区
571 ,GIO-Gruppe-Interaktion-Organisation-Zeitschrift fuer Angewandte Organisationspsychologie,ESCI,0.8 ,Q4,4区
572 ,Aloma-Revista de Psicologia Ciencies de l Educacio i de l Esport,ESCI,1.0 ,Q3,4区
573 ,Journal of Evidence-Based Psychotherapies,SSCI,0.8 ,Q4,4区
574 ,Revista Iberoamericana de Diagnostico y Evaluacion-e Avaliacao Psicologica,SSCI,0.6 ,Q4,4区
575 ,Behavioral Psychology-Psicologia Conductual,SSCI,0.7 ,Q4,4区
576 ,Desde el Jardin de Freud-Revista de Psicoanalisis,#N/A,#N/A,#N/A,4区
577 ,Konsultativnaya Psikhologiya i Psikhoterapiya-Counseling Psychology and Psychotherapy,ESCI,0.5 ,Q4,4区
578 ,Zeitschrift fuer Individualpsychologie,ESCI,0.1 ,Q4,4区
579 ,Filigrane-Revue de Psychanalyse,#N/A,#N/A,#N/A,4区
580 ,Psychologica,ESCI,0.6 ,Q4,4区
581 ,GeroPsych-The Journal of Gerontopsychology and Geriatric Psychiatry,ESCI,0.8 ,Q4,4区
582 ,European Journal of Mental Health,ESCI,0.6 ,Q4,4区
583 ,Psychology-Journal of the Higher School of Economics,ESCI,0.5 ,Q4,4区
584 ,Anuario de Psicologia,ESCI,0.6 ,Q4,4区
585 ,Quaderns de Psicologia,ESCI,0.4 ,Q4,4区
586 ,PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE,SSCI,0.7 ,Q4,4区
587 ,Canadian Journal of Career Development,ESCI,0.4 ,Q4,4区
588 ,CHILD & FAMILY BEHAVIOR THERAPY,SSCI,0.4 ,Q4,4区
589 ,Interdisciplinaria,ESCI,0.8 ,Q3,4区
590 ,International Journal of Systemic Therapy,ESCI,0.4 ,Q4,4区
591 ,Psychology Society & Education,ESCI,1.2 ,Q3,4区
592 ,International Journal of Psychology and Psychological Therapy,ESCI,0.7 ,Q4,4区
593 ,PSYCHOLOGIA,SSCI,0.5 ,Q4,4区
594 ,ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,SSCI,1.0 ,Q4,4区
595 ,Advances in Dual Diagnosis,ESCI,0.8 ,Q4,4区
596 ,Acta Neuropsychologica,ESCI,1.0 ,Q4,4区
597 ,Sibirskiy Psikhologicheskiy Zhurnal-Siberian Journal of Psychology,ESCI,0.3 ,Q4,4区
598 ,Liberabit-Revista de Psicologia,ESCI,0.6 ,Q4,4区
599 ,Primenjena Psihologija,ESCI,0.5 ,Q4,4区
600 ,JOURNAL OF PSYCHOPHYSIOLOGY,SSCI,0.9 ,Q4,4区
601 ,ECOS-Estudos Contemporaneos da Subjetividade,ESCI,<0.1,Q4,4区
602 ,CESKOSLOVENSKA PSYCHOLOGIE,SSCI,0.5 ,Q4,4区
603 ,Pratiques Psychologiques,SSCI,0.6 ,Q4,4区
604 ,Revista de Psicoterapia,ESCI,0.3 ,Q4,4区
605 ,Neuropsychological Trends,ESCI,0.7 ,Q4,4区
606 ,Revista de Psicologia Clinica con Ninos y Adolescentes,ESCI,0.8 ,Q4,4区
607 ,Journal of Educational Cultural and Psychological Studies,ESCI,0.3 ,Q4,4区
608 ,Psihologijske teme,ESCI,0.4 ,Q4,4区
609 ,REVISTA MEXICANA DE PSICOLOGIA,SSCI,0.4 ,Q4,4区
610 ,Eksperimentalnaya Psikhologiya,ESCI,0.4 ,Q4,4区
611 ,ANNEE PSYCHOLOGIQUE,SSCI,0.5 ,Q4,4区
612 ,Revista de Psicologia PUCP,ESCI,0.3 ,Q4,4区
613 ,DREAMING,SSCI,0.8 ,Q3,4区
614 ,PSYCHOLOGIST,SSCI,0.7 ,Q4,4区
615 ,VOPROSY PSIKHOLOGII,SSCI,0.2 ,Q4,4区
616 ,Asia Pacific Journal of Counselling and Psychotherapy,ESCI,0.2 ,Q4,4区
617 ,Revista Iberoamericana de Psicologia del Ejercicio y el Deporte,ESCI,0.5 ,Q4,4区
618 ,PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT,SSCI,0.3 ,Q4,4区
619 ,ARQUIVOS BRASILEROS DE PSICOLOGIA,ESCI,0.1 ,Q4,4区
620 ,Journal of Cognitive Psychotherapy,SSCI,0.6 ,Q4,4区
621 ,Psicodebate-Psicologia Cultura y Sociedad,ESCI,0.4 ,Q4,4区
622 ,Organizatsionnaya Psikologiya,ESCI,0.4 ,Q4,4区
623 ,Psyecology-Bilingual Journal of Environmental Psychology-Revista Bilingue de Psicologia Ambiental,ESCI,0.7 ,Q4,4区
624 ,International Journal of Integrative Psychotherapy,ESCI,<0.1,Q4,4区
625 ,Clinical Psychology and Special Education,ESCI,0.3 ,Q4,4区
626 ,Suicidology,ESCI,0.2 ,Q4,4区
627 ,Accion Psicologica,ESCI,0.4 ,Q4,4区
628 ,Psychologie Francaise,SSCI,0.4 ,Q4,4区
629 ,NEW ZEALAND JOURNAL OF PSYCHOLOGY,ESCI,0.1 ,Q4,4区
630 ,Revista CES Psicologia,ESCI,0.2 ,Q4,4区
631 ,Zeitschrift fur Sportpsychologie,SSCI,0.4 ,Q4,4区
632 ,Ricerche di Psicologia,ESCI,0.1 ,Q4,4区
633 ,Ansiedad y Estres-Anxiety and Stress,ESCI,0.5 ,Q4,4区
634 ,Revista Argentina de Ciencias del Comportamiento,ESCI,0.5 ,Q4,4区
635 ,Gedrag & Organisatie,SSCI,0.3 ,Q4,4区
636 ,Psychologie du Travail et des Organisations,ESCI,0.3 ,Q4,4区
637 ,Activites-Revue Electronique,#N/A,#N/A,#N/A,4区
638 ,Avances en Psicologia Latinoamericana,ESCI,0.2 ,Q4,4区
639 ,Current Research in Social Psychology,ESCI,0.4 ,Q4,4区
640 ,Actualidades en Psicologia,ESCI,0.2 ,Q4,4区
641 ,Universitas Psychologica,SSCI,0.3 ,Q4,4区
642 ,Enfance,ESCI,0.1 ,Q4,4区
643 ,Psicologia Clinica dello Sviluppo,ESCI,0.4 ,Q4,4区
644 ,Psicologia Conocimiento y Sociedad,ESCI,0.1 ,Q4,4区
645 ,Zeitschrift fur Neuropsychologie,SCIE,0.5 ,Q4,4区
646 ,Studies in Psychology-Psikoloji Calismalari Dergisi,ESCI,0.2 ,Q4,4区
647 ,Revista Costarricense de Psicologia,ESCI,0.3 ,Q4,4区
648 ,Diversitas-Perspectivas en Psicologia,#N/A,#N/A,#N/A,4区
649 ,Journal of Child and Adolescent Mental Health,ESCI,0.3 ,Q4,4区
650 ,Rivista di Psicologia dell Emergenza e dell Assistenza Umanitaria,ESCI,<0.1,Q4,4区
651 ,TURK PSIKOLOJI DERGISI,SSCI,0.2 ,Q4,4区
652 ,Eureka-Revista Cientifica de Psicologia,ESCI,0.3 ,Q4,4区
653 ,Pensando Psicologia,ESCI,0.2 ,Q4,4区
654 ,Indian Journal of Psychological Science,ESCI,<0.1,Q4,4区
655 ,Calidad de Vida y Salud,ESCI,0.1 ,Q4,4区
656 ,Cuadernos de Neuropsicologia-Panamerican Journal of Neuropsychology,ESCI,0.3 ,Q4,4区
657 ,Revista Clinica Contemporanea,ESCI,<0.1,Q4,4区
